תאריך פרסום,שם התכשיר,שם תכשיר באנגלית,שם החברה,סיבת העצירה,תאריך העצירה,צפי לחידוש שיווק,קבלת הודעה
,דילאטם 120 SR,דילאטם 120 SR,רז רוקחות,סיבות תפעוליות,1.7.2024,31.8.2024,
,פנטה 75,Fenta 75,GLAXO SMITH KLINE (ISRAEL) LTD,סיבות תפעוליות,9.6.2024,התכשיר חזר למלאי,
,פנטה 75,Fenta 75,PADAGIS ISRAEL PHARMACEUTICALS LTD,סיבות תפעוליות,9.6.2024,התכשיר חזר למלאי,
,"קסנאגיס 0.25 מ""ג",Xanagis 0.25 mg,רז רוקחות,סיבות תפעוליות,1.7.2024,31.12.2024,
,פנטה 75,Fenta 75,"טבע ישראל בע""מ",סיבות תפעוליות,9.6.2024,התכשיר חזר למלאי,
,מוסקול,MUSCOL,"ביוטיס בע""מ",סיבות תפעוליות,30.6.2024,31.07.2024,
,"היטרין טבליות 10 מ""ג",HYTRIN 10 MG TABLETS,"טבע ישראל בע""מ",סיבות תפעוליות,12.2.2023,1.11.2024,
,"היטרין טבליות 10 מ""ג",HYTRIN 10 MG TABLETS,GSK,סיבות תפעוליות,12.2.2023,1.11.2024,
,"בנליסטה תוך ורידי 400 מ""ג",BENLYSTA I.V. 400 MG,פייזר PFE,סיבות תפעוליות,25.6.2024,התכשיר חזר למלאי,
,"קסנאקס XR מ""ג 1",XANAX X.R. 1 mg,Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,1.8.2024,1.10.2024,
,"זופרן טבליות 8 מ""ג",ZOFRAN TABLETS 8 MG,"טבע ישראל בע""מ",סיבות תפעוליות,24.12.2023,התכשיר חזר למלאי,
,"זופרן טבליות 8 מ""ג",ZOFRAN TABLETS 8 MG,"פייזר פרמצבטיקה בע""מ",סיבות תפעוליות,24.12.2023,התכשיר חזר למלאי,
,"אקטיק 1600 מק""ג",ACTIQ 1600 MCG,"פייזר פרמצבטיקה בע""מ",סיבות תפעוליות,4.6.2024,31.08.2024,
,טראוסולפן רז 5 גרם,TREOSULFAN RAZ 5 G,"טבע ישראל בע""מ",סיבות תפעוליות,1.10.2023,01.08.2024,
,טוריסל,Torisel,"דקסל פארמה טכנולוגיות בע""מ",סיבות מסחריות,30.5.2025,לצמיתות,
,פרולול 40,PROLOL 40,"דקסל פארמה טכנולוגיות בע""מ",סיבות תפעוליות,3.3.2024,1.7.2024,
,טרמדקס או.די 300,TRAMADEX 300 OD,"דקסל בע""מ",סיבות תפעוליות,1.10.2023,31.7.2024,
,טרמדקס או.די 300,TRAMADEX 300 OD,J-C HEALTH CARE LTD,סיבות תפעוליות,1.10.2023,31.7.2024,
,"אימברוביקה 140 מ""ג טבליות",Imbruvica 140mg Tablets,J-C HEALTH CARE LTD,סיבות תפעוליות,3.6.2024,התכשיר חזר למלאי,
,"קונסרטה 36 מ""ג",CONCERTA 36mg,תרו תעשייה רוקחית,סיבות תפעוליות,2.6.2024,5.9.2024,
,תרוקלינדין ג'ל,TaroClindin Gel,"אלי לילי ישראל בע""מ",סיבות תפעוליות,20.2.2024,30.6.2024,
,תרוקלינדין ג'ל,TaroClindin Gel,PADAGIS ISRAEL PHARMACEUTICALS LTD.,סיבות תפעוליות,20.2.2024,30.6.2024,
,תרוקלינדין ג'ל,TaroClindin Gel,פייזר PFE,סיבות תפעוליות,20.2.2024,30.6.2024,
,"קסנאקס XR 2 מ""ג",XANAX X.R. 2 mg,תרו תעשייה רוקחית,סיבות תפעוליות,סוף מאי 2024,ספטמבר 2024,
,"קסנאקס XR 2 מ""ג",XANAX X.R. 2 mg,תרו תעשייה רוקחית,סיבות תפעוליות,סוף מאי 2024,ספטמבר 2024,
,ניסטטין רדי מיקס,Nystatin Ready Mix,תרו תעשייה רוקחית,סיבות תפעוליות,11.3.2024,30.7.2024,
,דרמקומבין משחה,Dermacombin Ointment,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,15.2.2024,30.7.2024,
,"ורזניו 100 מ""ג",Verzenio 100 mg,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,12.6.2024,30.6.2024,
,"ורזניו 100 מ""ג",Verzenio 100 mg,תרו תעשייה רוקחית,סיבות תפעוליות,12.6.2024,30.6.2024,
,צפאזולין-תרימה 1 גרם,Cefazolin-Trima 1g,"אלי לילי ישראל בע""מ",סיבות תפעוליות,15.1.2024,31.7.2024,
,"ריטלין LA 20 מ""ג כמוסות בשחרור מושהה",Ritalin LA 20 mg modified release capsules,Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,26.5.2024,16.6.2024,
,פנטה 25,Fenta 25,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,31.1.2024,התכשיר חזר למלאי,
,"פלודרבין ""אבווה"" 50 מ""ג/2 מ""ל","FLUDARABIN ""EBEWE"" 50 MG/2 ML","כצט תעשיות כימיות בע""מ",סיבות תפעוליות,31.1.2024,31.07.2024,
,"בטיסטין 16 מ""ג",Betistine 16 mg,רפא,סיבות תפעוליות,8.6.2023,31.10.2024,
,גמסיטאבין טבע תמיסה מרוכזת,GEMCITABINE TEVA CONCENTRATE,תרו תעשייה רוקחית,סיבות תפעוליות,31.8.2024,לצמיתות,
,"בטיסטין 16 מ""ג",Betistine 16 mg,Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,8.6.2023,31.10.2024,
,"בטיסטין 16 מ""ג",Betistine 16 mg,רפא,סיבות תפעוליות,8.6.2023,31.10.2024,
,דרמקומבין קרם,Dermacombin Cream,רפא,סיבות תפעוליות,15.6.2024,30.8.2024,
,פנטה 25,Fenta 25,"דקסל בע""מ",סיבות תפעוליות,31.1.2024,התכשיר חזר למלאי,
,"ריבסטיגמין דקסל 4.5 מ""ג",RIVASTIGMINE DEXCEL 4.5 MG,"דקסל בע""מ",סיבות תפעוליות,27.5.2024,13.6.2024,
,"נבלבין 20 מ""ג",NAVELBINE 20 MG,"דקסל בע""מ",סיבות תפעוליות,31.4.2024,31.7.2024,
,"ריבסטיגמין דקסל 1.5 מ""ג",RIVASTIGMINE DEXCEL 1.5 MG,"דקסל בע""מ",סיבות תפעוליות,17.3.2024,13.6.2024,
,"ריבסטיגמין דקסל 4.5 מ""ג",RIVASTIGMINE DEXCEL 4.5 MG,"דקסל בע""מ",סיבות תפעוליות,27.5.2024,13.6.2024,
,"ריבסטיגמין דקסל 1.5 מ""ג",RIVASTIGMINE DEXCEL 1.5 MG,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,17.3.2024,13.6.2024,
,"טרמדקס טבליות 100 מ""ג",TRAMADEX 100MG,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,27.5.2024,31.7.2024,
,"בופיבקאין אגואטאנט 5 מ""ג/מ""ל",BUPIVACAINE AGUETTANT 5 MG/ML,"דקסל בע""מ",סיבות תפעוליות,27.5.2024,לצמיתות,
,הייפרהפ בי S/D,HYPERHEP B S/D,"דקסל בע""מ",סיבות תפעוליות,1.4.2022,31.12.2024,
,הייפרהפ בי S/D,HYPERHEP B S/D,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,1.4.2022,31.12.2024,
,אוזמפיק 0.25,Ozempic 0.25,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,7.4.2024,30.8.2024,
,אינוטיול,INOTYOL,"נוברטיס ישראל בע""מ",סיבות תפעוליות,24.3.2024,התכשיר חזר למלאי,
,"ריטלין LA 20 מ""ג כמוסות בשחרור מושהה",Ritalin LA 20 mg modified release capsules,רז רוקחות,סיבות תפעוליות,26.5.2024,5.6.2024,
,אטרובנט,ATROVENT,GSK,סיבות מסחריות,15.11.2024,לצמיתות,
,"ריפול 20 מ""ג/מ""ל",RIPOL 20 MG/ML,GSK,סיבות תפעוליות,21.5.2024,1.7.2024,
,נוקלה אבקה להכנת תמיסה להזרקה,NUCALA POWDER FOR SOLUTION FOR INJECTION,"תרומד בע""מ",סיבות תפעוליות,20.11.2023,לצמיתות,
,דקספורט וטרנרי,Dexafort Veterinary,Intervet Israel LTD,סיבות תפעוליות,מיידי,1.11.2024,
,"ניטיר (ניטיזינון) 10 מ""ג",Nityr (nitisinine) 10mg,"אינטרווט ישראל בע""מ",סיבות מסחריות,מיידי,לצמיתות,
,"ניטיר (ניטיזינון) 5 מ""ג",Nityr (nitisinine) 5 mg,"תרומד בע""מ",סיבות מסחריות,מיידי,לצמיתות,
,דקספורט וטרנרי,Dexafort Veterinary,"טבע ישראל בע""מ",סיבות תפעוליות,מיידי,1.11.2024,
,דקספורט וטרנרי,Dexafort Veterinary,"טבע ישראל בע""מ",סיבות תפעוליות,מיידי,1.11.2024,
,"דולוקס טבע 60 מ""ג",DULOX TEVA 60 MG,חברת אורגנון פארמה ישראל,סיבות תפעוליות,31.5.2024,30.6.2024,
,סינמט סי.אר,Sinemet CR,פייזר PFE,סיבות תפעוליות,19.5.2024,התכשיר חזר למלאי,
,קסלאקום טיפות עיניים,Xalacom Eye Drops,"ביוטיס בע""מ",סיבות תפעוליות,1.6.2024,התכשיר חזר למלאי,
,"בודזונייד סטרינבז טבע 1 מ""ג2 /מ""ל",BUDESONIDE STERINEBS TEVA 1 MG/2 ML,"טבע ישראל בע""מ",סיבות תפעוליות,תחילת יוני 2024,התכשיר חזר למלאי,
,כרומו קומוד תרסיס לאף,CROMO-COMOD NASAL SPRAY,"טבע ישראל בע""מ",סיבות תפעוליות,31.7.2024,לצמיתות,
,כרומו קומוד תרסיס לאף,CROMO-COMOD NASAL SPRAY,חברת אורגנון פארמה ישראל,סיבות תפעוליות,31.7.2024,לצמיתות,
,"אזטרול 10 מ""ג טבליות",EZETROL 10 MG TABLETS,"אינובמד בע""מ",סיבות תפעוליות,27.3.2024,התכשיר חזר למלאי,
,כרומו קומוד תרסיס לאף,CROMO-COMOD NASAL SPRAY,Sandoz Pharmaceuticals Israel Ltd,סיבות תפעוליות,31.7.2024,לצמיתות,
,"זינט תרחיף 250 מ""ג/5 מ""ל",ZINNAT SUSPENSION 250 MG/5 ML,Sandoz Pharmaceuticals Israel Ltd,סיבות מסחריות,30.10.2024,לצמיתות,
,"זינט תרחיף 250 מ""ג/5 מ""ל",ZINNAT SUSPENSION 250 MG/5 ML,Sandoz Pharmaceuticals Israel Ltd,סיבות מסחריות,30.10.2024,לצמיתות,
,"זינט תרחיף 250 מ""ג/5 מ""ל",ZINNAT SUSPENSION 250 MG/5 ML,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות מסחריות,30.10.2024,לצמיתות,
,"ריבסטיגמין דקסל 1.5 מ""ג",RIVASTIGMINE DEXCEL 1.5 MG,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,17.3.2024,31.5.2024,
,"ריבסטיגמין דקסל 1.5 מ""ג",RIVASTIGMINE DEXCEL 1.5 MG,"אליעזר לינביץ בע""מ",סיבות תפעוליות,17.3.2024,31.5.2024,
,אמבוטייפ וטרינרי,Embotape veterinary,"טבע ישראל בע""מ",סיבות תפעוליות,מיידי,15.8.2024,
,קרטיה,Cartia,"טבע ישראל בע""מ",סיבות תפעוליות,1.4.2024,התכשיר חזר למלאי,
,קרטיה,Cartia,"טבע ישראל בע""מ",סיבות תפעוליות,1.4.2024,התכשיר חזר למלאי,
,קרטיה,Cartia,"כצט תעשיות כימיות בע""מ",סיבות תפעוליות,1.4.2024,התכשיר חזר למלאי,
,"קספו 8 מ""ג/2 מ""ל זריקות",XEFO 8 MG/2 ML INJECTION,"דקסל בע""מ",סיבות מסחריות,31.12.2024,הפסקה לצמיתות,
,פנטסה פתילות,Pentasa suppositories,"דקסל בע""מ",סיבות תפעוליות,22.5.2024,התכשיר חזר למלאי,
,"קספו 8 מ""ג/2 מ""ל זריקות",XEFO 8 MG/2 ML INJECTION,טבע,סיבות מסחריות,31.12.2024,הפסקה לצמיתות,
,נרוסין,NAROCIN,Tzamal bio-pharma Ltd.,סיבות תפעוליות,תחילת מאי 2024,התכשיר חזר למלאי,
,"אוקסליפלטין מדאק 50מ""ג",OXALIPLATIN MEDAC 50 MG,Sandoz Pharmaceuticals Israel Ltd,סיבות תפעוליות,7.5.2024,במהלך חציון שני של 2024,
,"קונסרטה 54 מ""ג",CONCERTA 54mg,J-C HEALTH CARE LTD,סיבות תפעוליות,6.5.2024,30.6.2024,
,"קונסרטה 54 מ""ג",CONCERTA 54mg,Sandoz Pharmaceuticals Israel Ltd,סיבות תפעוליות,6.5.2024,30.6.2024,
,"אמבריסנטן טבע 10 מ""ג",AMBRISENTAN TEVA 10 MG,J-C HEALTH CARE LTD,סיבות תפעוליות,אמצע מאי 2024,תחילת אוקטובר 2024,
,"קונסרטה 18 מ""ג",CONCERTA 18mg,J-C HEALTH CARE LTD,סיבות תפעוליות,6.5.2024,התכשיר חזר למלאי,
,"אימברוביקה 140 מ""ג טבליות",Imbruvica 140mg Tablets,Trima,סיבות תפעוליות,2.5.2024,התכשיר חזר למלאי,
,"סטרון 1 מ""ג",SETRON 1 MG,PADAGIS ISRAEL PHARMACEUTICALS LTD,סיבות תפעוליות,2.6.2024,31.8.2024,
,אדטאר,Adatar,PADAGIS ISRAEL PHARMACEUTICALS LTD,סיבות תפעוליות,8.2.2024,15.7.2024,
,אגיסרק 16,AGISERC 16,Trima,סיבות תפעוליות,7.5.2024,30.11.2024,
,אדטאר,Adatar,Trima,סיבות תפעוליות,8.2.2024,15.7.2024,
,תרודנט שטיפת פה,Tarodent Mouthwash,Trima,סיבות תפעוליות,15.5.2024,1.7.2024,
,ציקלודרם תמיסה,Cicloderm Solution,Trima Israel Pharmaceutical Products Maabarot Ltd.,סיבות תפעוליות,15.12.2023,30.6.2024,
,בימטילול טבע,BIMATILOL TEVA,Trima Israel Pharmaceutical Products Maabarot Ltd.,סיבות תפעוליות,סוף פברואר 2024,תחילת אוקטובר 2024 (במקום תחילת אוגוסט 2024),
,"פנידין 27 מ""ג",Phenidin 27 mg,Trima Israel Pharmaceutical Products Maabarot Ltd.,סיבות תפעוליות,4.6.2023,31.12.2024,
,"פנידין 27 מ""ג",Phenidin 27 mg,Ferring pharmaceutical Ltd,סיבות תפעוליות,4.6.2023,31.12.2024,
,דיאתרים,Diatrim,"טבע ישראל בע""מ",סיבות תפעוליות,21.2.2024,30.6.2024,
,"פנידין 18 מ""ג",Phenidin 18mg,"תרימה, תוצרי רפואה ישראליים מעברות בע""מ",סיבות תפעוליות,29.11.2023,31.12.2024,
,דיאתרים,Diatrim,Trima Israel Pharmaceutical Products Maabarot Ltd.,סיבות תפעוליות,21.2.2024,30.6.2024,
,"פנידין 18 מ""ג",Phenidin 18mg,Trima Israel Pharmaceutical Products Maabarot Ltd.,סיבות תפעוליות,29.11.2023,31.12.2024,
,"פנידין 27 מ""ג",Phenidin 27 mg,Trima Israel Pharmaceutical Products Maabarot Ltd.,סיבות תפעוליות,4.6.2023,31.12.2024,
,דיאתרים,Diatrim,רז רוקחות,סיבות תפעוליות,21.2.2024,30.6.2024,
,"אפדרין הידרוכלוריד סטרופ 50 מ""ג/ 1 מ""ל",EPHEDRINE HCL STEROP 50 MG/1 ML,"טבע ישראל בע""מ",סיבות תפעוליות,31.7.2023,31.5.2024,
,רסג'ילין-תרימה,Rasagiline-Trima,"טבע ישראל בע""מ",סיבות תפעוליות,מידי,31.10.2024,
,פקליטקסל 300 טבע,300 PACLITAXEL TEVA,"טבע ישראל בע""מ",סיבות תפעוליות,תחילת יוני 2024,סוף יולי 2024,
,קלופידוגרל טבע,CLOPIDOGREL TEVA,"טבע ישראל בע""מ",סיבות תפעוליות,סוף ספטמבר 2023,התכשיר חזר למלאי,
,"אפדרין הידרוכלוריד סטרופ 50 מ""ג/ 1 מ""ל",EPHEDRINE HCL STEROP 50 MG/1 ML,"סאנופי ישראל בע""מ",סיבות תפעוליות,31.7.2023,31.5.2024,
,דוטאסטמד,DUTASTAMED,RAZ PHARMACEUTICS LTD.,סיבות תפעוליות,1.1.2024,31.10.2024 במקום 30.4.2024,
,רקובל 12,Rekovelle 12,רפא,סיבות מסחריות,21.2.2023,31.1.2025,
,"ריבסטיגמין דקסל 1.5 מ""ג",RIVASTIGMINE DEXCEL 1.5 MG,Ferring pharmaceutical Ltd,סיבות תפעוליות,17.3.2024,15.5.2024,
,רקובל 36,Rekovelle 36,"אינובמד פארמה בע""מ",סיבות מסחריות,21.2.2023,התכשיר חזר למלאי,
,רקובל 36,Rekovelle 36,"נובו נורדיסק בע""מ",סיבות מסחריות,21.2.2023,התכשיר חזר למלאי,
,ג'נס,Janess,Bioavenir LTD,סיבות מסחריות,31.10.2024,לצמיתות,
,דוטאסטמד,DUTASTAMED,Ferring pharmaceutical Ltd,סיבות תפעוליות,1.1.2024,31.10.2024 במקום 30.4.2024,
,רוומיצין,Rovamycin,"באייר ישראל בע""מ",סיבות מסחריות,ינואר 2025,לצמיתות,
,רוומיצין,Rovamycin,Bioavenir LTD,סיבות מסחריות,ינואר 2025,לצמיתות,
,דוטאסטמד,DUTASTAMED,Ferring pharmaceutical Ltd,סיבות תפעוליות,1.1.2024,31.10.2024 במקום 30.4.2024,
,דוטאסטמד,DUTASTAMED,RAZ PHARMACEUTICS LTD.,סיבות תפעוליות,1.1.2024,31.10.2024 במקום 30.4.2024,
,"ציסטגון 50 מ""ג",CYSTAGON 50 mg,"טבע ישראל בע""מ",סיבות מסחריות,1.5.2024,לצמיתות,
,"בטאהיסטין טבע 16 מ""ג",BETAHISTINE TEVA 16 MG,רפא,סיבות תפעוליות,אמצע מרץ 2023,סוף ספטמבר 2024 (במקום סוף יולי 2024),
,פנטה 25,Fenta 25,Novartis Israel ltd.,סיבות תפעוליות,31.1.2024,20.5.2024,
,"אקספורג' 5מ""ג/160מ""ג",Exforge 5mg/160mg,Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,08.05.2024 - הודעה בעקבות ירידה ממלאי ברזל. המחסור יתממש רק אם לא תשוחרר אצווה כמתוכנן,התכשיר חזר למלאי,
,"אקספורג' 5מ""ג/160מ""ג",Exforge 5mg/160mg,"טבע ישראל בע""מ",סיבות תפעוליות,08.05.2024 - הודעה בעקבות ירידה ממלאי ברזל. המחסור יתממש רק אם לא תשוחרר אצווה כמתוכנן,התכשיר חזר למלאי,
,אנדומטרין,Endometrin,"טבע ישראל בע""מ",סיבות תפעוליות,10.5.2024,התכשיר חזר למלאי,
,אנדומטרין,Endometrin,פייזר PFE,סיבות תפעוליות,10.5.2024,התכשיר חזר למלאי,
,אינוטיול,INOTYOL,פייזר PFE,סיבות תפעוליות,24.3.2024,30.5.2024,
,אנדומטרין,Endometrin,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,10.5.2024,התכשיר חזר למלאי,
,"סולו מדרול 40 מ""ג",SOLU MEDROL 40 mg,"טבע ישראל בע""מ",סיבות תפעוליות,אמצע מאי 2024,התכשיר חזר למלאי,
,"אקמולי לתינוקות 80 מ""ג פתילות",ACAMOLI BABY 80 MG SUPPOSITORIES,"טבע ישראל בע""מ",סיבות תפעוליות,תחילת יולי 2023,לצמיתות,
,"אקמולי לתינוקות 80 מ""ג פתילות",ACAMOLI BABY 80 MG SUPPOSITORIES,"טבע ישראל בע""מ",סיבות תפעוליות,תחילת יולי 2023,לצמיתות,
,"אקמולי לתינוקות 80 מ""ג פתילות",ACAMOLI BABY 80 MG SUPPOSITORIES,"טבע ישראל בע""מ",סיבות תפעוליות,תחילת יולי 2023,לצמיתות,
,"דולוקסטין סנדוז 30 מ""ג ג'י.אר.סי",Duloxetine Sandoz 30 mg GRC,Sandoz Pharmaceuticals Israel Ltd,סיבות תפעוליות,2.1.2024,10.05.2024 במקום 10.4.2024,
,"דולוקסטין סנדוז 30 מ""ג ג'י.אר.סי",Duloxetine Sandoz 30 mg GRC,Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,2.1.2024,10.05.2024 במקום 10.4.2024,
,"אקמולי לתינוקות 80 מ""ג פתילות",ACAMOLI BABY 80 MG SUPPOSITORIES,"טבע ישראל בע""מ",סיבות תפעוליות,תחילת יולי 2023,לצמיתות,
,אגיסטן בייבי,AGISTEN BABY,"בורינגר אינגלהיים ישראל בע""מ",סיבות תפעוליות,21/04/2024,התכשיר חזר למלאי,
,"סנדוסטטין® 0.5 מ""ג/מ""ל",SANDOSTATIN® 0.5 MG/ML,Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,17.03.2024,התכשיר חזר למלאי,
,"לוסטרל טבליות 100 מ""ג",Lustral tablets 100 mg,"בורינגר אינגלהיים ישראל בע""מ",סיבות תפעוליות,01/05/2024,התכשיר חזר למלאי,
,בטנזול טבליות,Betnesol tablets,"נוברטיס ישראל בע""מ",סיבות תפעוליות,מיידיי תוך מספר ימים,התכשיר חזר למלאי,
,"סיפרול 0.25 מ""ג",SIFROL TABLETS 0.25 MG,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,31/08/2024,לצמיתות,
,"זופרן טבליות 8 מ""ג",ZOFRAN TABLETS 8 MG,"נוברטיס ישראל בע""מ",סיבות תפעוליות,24.12.2023,15/05/2024 במקום 20/04/2024,
,"סנדוסטטין® 0.5 מ""ג/מ""ל",SANDOSTATIN® 0.5 MG/ML,Devries&Co. Ltd,סיבות תפעוליות,17.03.2024,התכשיר חזר למלאי,
,בטנזול טבליות,Betnesol tablets,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,מיידיי תוך מספר ימים,התכשיר חזר למלאי,
